,GLD,BTC
,close,close
2017-05-18,118.82,1825.5495197132664
2017-05-19,119.41,1926.2015095676825
2017-05-22,119.8953,2110.9065907473355
2017-05-23,119.11,2192.909826964676
2017-05-24,119.63,2367.3512342216027
2017-05-25,119.5,2555.5144815588087
2017-05-26,120.55,2384.622114445222
2017-05-30,120.15,2273.5866904422264
2017-05-31,120.62,2253.686263121067
2017-06-01,120.66,2389.872342657344
2017-06-02,121.61,2429.3910122038765
2017-06-05,121.73,2602.2055007256954
2017-06-06,123.11,2835.092842178768
2017-06-07,122.46,2814.690801418441
2017-06-08,121.65,2753.428592436983
2017-06-09,120.56,2824.0709188801134
2017-06-12,120.34,2798.617826398856
2017-06-13,120.5,2715.9303538570493
2017-06-14,119.85,2651.497856635919
2017-06-15,119.32,2356.0800488826803
2017-06-16,119.31,2451.4944508670533
2017-06-19,118.41,2558.2808619430243
2017-06-20,118.19,2661.645126582277
2017-06-21,118.54,2711.941942090399
2017-06-22,118.92,2681.07608758076
2017-06-23,119.44,2718.1027838033283
2017-06-26,118.36,2463.4198645759097
2017-06-27,118.79,2407.07438434164
2017-06-28,118.91,2534.0378627591103
2017-06-29,118.32,2558.6512444771747
2017-06-30,118.03,2523.761556671455
2017-07-03,116.04,2524.9089801907576
2017-07-05,116.54,2569.8523254139723
2017-07-06,116.46,2593.6197291021704
2017-07-07,115.27,2541.820538348087
2017-07-10,115.46,2451.24397913562
2017-07-11,115.64,2339.656065688327
2017-07-12,116.01,2344.349150141647
2017-07-13,115.82,2370.49952415813
2017-07-14,116.78,2277.5890711175684
2017-07-17,117.29,2057.3082807017595
2017-07-18,118.09,2280.8427851644533
2017-07-19,118.05,2311.477210451977
2017-07-20,118.25,2497.806585190505
2017-07-21,119.25,2719.0320971147053
2017-07-24,119.33,2753.689992690065
2017-07-25,118.92,2619.4033791606425
2017-07-26,119.9,2498.869391365893
2017-07-27,119.81,2569.933053545587
2017-07-28,120.7,2737.928370264477
2017-07-31,120.73,2761.777955223876
2017-08-01,120.64,2766.060429948109
2017-08-02,120.42,2713.830417566598
2017-08-03,120.59,2744.010665680483
2017-08-04,119.65,2828.8835143288097
2017-08-07,119.51,3310.928714596962
2017-08-08,119.88,3416.080875350135
2017-08-09,121.3,3340.506430594911
2017-08-10,122.23,3392.9317167381946
2017-08-11,122.78,3504.2765884861483
2017-08-14,121.89,4171.049693513901
2017-08-15,120.97,4167.271794692747
2017-08-16,121.85,4167.727443181816
2017-08-17,122.51,4346.486339222618
2017-08-18,122.27,4227.788487394969
2017-08-21,122.77,4021.363997082423
2017-08-22,122.21,3921.97564944134
2017-08-23,122.66,4142.045368938866
2017-08-24,122.27,4180.726488011292
2017-08-25,122.745,4356.784354609941
2017-08-28,124.68,4304.878294075677
2017-08-29,124.42,4465.117163969044
2017-08-30,124.3492,4575.672056338037
2017-08-31,125.84,4670.353321529755
2017-09-01,126.06,4801.956576011163
2017-09-05,127.46,4252.3460250173775
2017-09-06,126.82,4528.764399441346
2017-09-07,128.14,4584.511490857959
2017-09-08,127.98,4478.341214953271
2017-09-11,126.17,4210.23134453782
2017-09-12,126.55,4252.994787234042
2017-09-13,125.6,3932.973356692366
2017-09-14,126.16,3622.5933006306914
2017-09-15,125.52,3409.224207232261
2017-09-18,124.35,3940.996519916149
2017-09-19,124.59,3962.772829131652
2017-09-20,123.6,3937.585712230216
2017-09-21,122.67,3789.237372942016
2017-09-22,123.24,3626.1703952011303
2017-09-25,124.54,3822.1701005025047
2017-09-26,123.13,3914.772109764792
2017-09-27,121.99,4037.329766784446
2017-09-28,122.23,4188.537876857742
2017-09-29,121.601,4144.9113960114055
2017-10-02,120.76,4395.775195369032
2017-10-03,120.84,4310.175648745532
2017-10-04,121.17,4248.14967225055
2017-10-05,120.51,4256.913988397398
2017-10-06,121.11,4359.940316176475
2017-10-09,122.07,4644.426512455513
2017-10-10,122.39,4811.997132667621
2017-10-11,122.8,4787.976265320845
2017-10-12,122.885,5116.922075736328
2017-10-13,123.84,5618.319819318966
2017-10-16,122.98,5673.640113798009
2017-10-17,122.13,5624.803520227109
2017-10-18,121.66,5401.969064898817
2017-10-19,122.38,5654.081833568413
2017-10-20,121.601,5790.207616361079
2017-10-23,121.81,5867.216531627576
2017-10-24,121.33,5659.463389238304
2017-10-25,121.34,5547.894570230612
2017-10-26,120.33,5827.555448129863
2017-10-27,120.89,5821.23064584812
2017-10-30,121.13,6122.396163610732
2017-10-31,120.68,6241.88095774648
2017-11-01,121.11,6503.334895104899
2017-11-02,121.2,6952.793470383285
2017-11-03,120.63,7240.684188153317
2017-11-06,121.65,7228.078117154808
2017-11-07,121.2,7102.876098748263
2017-11-08,121.64,7386.538886569248
2017-11-09,122.14,7244.327472222225
2017-11-10,121.14,6960.260097765367
2017-11-13,121.32,6347.41558803062
2017-11-14,121.57,6590.334569629115
2017-11-15,121.41,7047.241583742112
2017-11-16,121.4,7462.372382290935
2017-11-17,122.85,7827.237773138492
2017-11-20,121.3,8090.914324702599
2017-11-21,121.53,8157.685722222237
2017-11-22,122.63,8195.136783461823
2017-11-24,122.32,8168.268290300076
2017-11-27,122.85,9556.814923611137
2017-11-28,122.8,9833.134767199466
2017-11-29,122.05,10418.194439655172
2017-11-30,121.08,9888.908548611136
2017-12-01,121.59,10195.169193884652
2017-12-04,121.18,11346.535726198766
2017-12-05,120.3,11655.62583157897
2017-12-06,120.07,12580.533465277796
2017-12-07,118.51,14778.20741666666
2017-12-08,118.49,15432.868875000007
2017-12-11,118.02,16202.50012500004
2017-12-12,118.15,16731.40944367175
2017-12-13,119.17,16540.327312500034
2017-12-14,118.94,16340.604209416715
2017-12-15,119.19,17363.83694347521
2017-12-18,119.74,18720.01349999997
2017-12-19,119.82,18320.99682418341
2017-12-20,120.14,16834.521375000026
2017-12-21,120.32,16221.424986111117
2017-12-22,120.95,13758.08390909089
2017-12-26,121.78,15243.615263888882
2017-12-27,122.24,15581.444701388851
2017-12-28,122.84,14248.632048611133
2017-12-29,123.67,14534.974930555549
2018-01-02,125.15,13879.358895833342
2018-01-03,124.82,14963.699340277786
2018-01-04,125.46,14818.780319444424
2018-01-05,125.32,15792.452506944404
2018-01-08,125.31,15300.74915277776
2018-01-09,124.71,14868.201201388889
2018-01-10,125.0239,14194.688409722214
2018-01-11,125.44,13697.191066945616
2018-01-12,126.975,13659.293321678326
2018-01-16,127.17,12164.619152777768
2018-01-17,126.14,10680.231659722216
2018-01-18,125.85,11495.746736111108
2018-01-19,126.43,11513.536416666664
2018-01-22,126.65,11130.24243562978
2018-01-23,127.25,10724.692098679652
2018-01-24,128.84,11008.973177700362
2018-01-25,127.92,11300.6694714882
2018-01-26,128.06,11009.798190076872
2018-01-29,127.34,11284.097649930272
2018-01-30,126.79,10626.317227653642
2018-01-31,127.67,9987.00209722223
2018-02-01,128.07,9496.480807237327
2018-02-02,126.39,8558.503076388899
2018-02-05,126.74,7611.722958333325
2018-02-06,125.39,6828.462006944439
2018-02-07,124.79,7914.230382209863
2018-02-08,125.0,8217.03369853453
2018-02-09,124.75,8261.507706740798
2018-02-12,125.36,8624.981591067695
2018-02-13,126.09,8609.500619345868
2018-02-14,128.25,9025.976004169588
2018-02-15,128.39,9803.039104166684
2018-02-16,127.95,10026.023748261485
2018-02-20,126.25,11498.271536856755
2018-02-21,125.67,10791.702006944444
2018-02-22,126.3,10272.012329624486
2018-02-23,126.11,10013.17386379431
2018-02-26,126.45,9910.981484320584
2018-02-27,125.12,10552.921983298547
2018-02-28,124.97,10620.142689895503
2018-03-01,124.73,10650.593361522222
2018-03-02,125.39,10980.763948468008
2018-03-05,125.17,11521.001560975596
2018-03-06,126.52,11019.909720279717
2018-03-07,125.7,10399.438623087646
2018-03-08,125.41,9705.391458333352
2018-03-09,125.54,8907.90111188324
2018-03-12,125.54,9435.382157821236
2018-03-13,125.74,9155.85911002105
2018-03-14,125.69,8767.755735191635
2018-03-15,124.87,8111.283709677437
2018-03-16,124.58,8315.620800835663
