,GLD,GLD,GLD,GLD,GLD
,open,high,low,close,volume
time,,,,,
2017-05-25 00:00:00-04:00,119.52,119.695,119.29,119.5,3103635
2017-05-26 00:00:00-04:00,120.49,120.79,120.33,120.55,5243931
2017-05-30 00:00:00-04:00,120.24,120.33,119.95,120.15,3515511
2017-05-31 00:00:00-04:00,120.31,121.23,120.26,120.62,7322702
2017-06-01 00:00:00-04:00,120.17,120.74,120.06,120.66,5770680
2017-06-02 00:00:00-04:00,121.31,121.71,121.19,121.61,5556753
2017-06-05 00:00:00-04:00,121.91,121.94,121.58,121.73,2902974
2017-06-06 00:00:00-04:00,123.09,123.31,122.77,123.11,7797844
2017-06-07 00:00:00-04:00,122.79,123.16,122.015,122.46,6719006
2017-06-08 00:00:00-04:00,122.07,122.07,120.95,121.65,6733460
2017-06-09 00:00:00-04:00,120.45,120.91,120.4,120.56,6081994
2017-06-12 00:00:00-04:00,120.33,120.685,120.265,120.34,4168566
2017-06-13 00:00:00-04:00,119.95,120.71,119.92,120.5,3176736
2017-06-14 00:00:00-04:00,121.52,121.88,119.57,119.85,16762765
2017-06-15 00:00:00-04:00,119.22,119.5,119.1275,119.32,5442718
2017-06-16 00:00:00-04:00,119.35,119.5,119.24,119.31,3540899
2017-06-19 00:00:00-04:00,118.74,118.84,118.33,118.41,5439256
2017-06-20 00:00:00-04:00,118.42,118.46,118.07,118.19,3419208
2017-06-21 00:00:00-04:00,118.15,118.66,118.15,118.54,3534885
2017-06-22 00:00:00-04:00,119.13,119.1978,118.6,118.92,5045674
2017-06-23 00:00:00-04:00,119.65,119.66,119.31,119.44,6557565
2017-06-26 00:00:00-04:00,118.29,118.535,118.17,118.36,5093456
2017-06-27 00:00:00-04:00,118.87,119.05,118.481,118.79,4165162
2017-06-28 00:00:00-04:00,119.06,119.06,118.685,118.91,3210870
2017-06-29 00:00:00-04:00,117.97,118.64,117.91,118.32,6396279
